grau|instituto|local|datas|detalhes
Doutorado em Ambiente e Sociedade|Universidade Estadual de Campinas (UNICAMP)|Campinas, SP|Mar 2021 – Presente|"Condução de pesquisas interdisciplinares."
Doutorado em Ambiente e Sociedade|Universidade Estadual de Campinas (UNICAMP)|Campinas, SP|Mar 2021 – Presente|"Tema de projeto: Estimativas do potencial de sequestro de carbono por sistemas de integração lavoura-pecuária-floresta no Brasil"
Mestrado em Sensoriamento Remoto|Instituto Nacional de Pesquisas Espcaciais (INPE)|Sâo José dos Campos, SP|Mar 2018 – Mar 2020|"Fundamentos físicos do Sensoriamento Remoto, Resposta Espectral de Alvos, Processamento Digital de Imagens."
Mestrado em Sensoriamento Remoto|Instituto Nacional de Pesquisas Espcaciais (INPE)|Sâo José dos Campos, SP|Mar 2018 – Mar 2020|Tema de Dissertação: Análise da resiliência da Caatinga a eventos de seca extrema. \href{https://github.com/hugotseixas/drought-resilience}{\faIcon{github}}
Programa de Intercâmbio: Gestão Ambiental|Instituto de Tecnologia de Limerick|Thurles, Irlanda|Jun 2015 – Jun 2016|"Metodologia Científica, Confecção de relatórios, Geoprocessamento."
Programa de Intercâmbio: Gestão Ambiental|Instituto de Tecnologia de Limerick|Thurles, Irlanda|Jun 2015 – Jun 2016|"Melhoria da capacidade de comunicação em Ingês."
Bacharelado em Engenharia Agronômica|Escola Superior de Agricultura ”Luiz de Queiroz” (ESALQ-USP)|Piracicaba, SP|Fev 2011 – Jul 2017|"Produção Vegetal e Animal, Hidrologia, Introdução a Geoprocessamento e Sensoriamento Remoto"
Bacharelado em Engenharia Agronômica|Escola Superior de Agricultura ”Luiz de Queiroz” (ESALQ-USP)|Piracicaba, SP|Fev 2011 – Jul 2017|"Tema de TCC: Análise da influência do tempo e do armazenamento sobre a resposta espectral de folhas de pasto Mombaça após Coleta."
