ano|pub
2023|"The drivers and impacts of Amazon forest degradation, Science."
2022|"Exploring the ecosystem resilience concept with land surface model scenarios, Ecological Modelling."
2021|"Relationship between Biomass Burning Emissions and Deforestation in Amazonia over the Last Two Decades, Forests."
2021|"2020 Pantanal’s widespread fire: short- and long-term implications for biodiversity and conservation, Biodiversity and Conservation"
2020|"Rapid Recent Deforestation Incursion in a Vulnerable Indigenous Land in the Brazilian Amazon and Fire-Driven Emissions of Fine Particulate Aerosol Pollutants, Forests. "

