degree|institute|location|dates|details
PhD in Environment and Society|State University of Campinas (UNICAMP)|Campinas, SP|Mar 2021 - Present|"Conducting interdisciplinary research."
PhD in Environment and Society|State University of Campinas (UNICAMP)|Campinas, SP|Mar 2021 - Present|"Project theme: Estimates of carbon sequestration potential by crop-livestock-forest integration systems in Brazil"
Master in Remote Sensing|National Institute for Space Research (INPE)|Sâo José dos Campos, SP|Mar 2018 - Mar 2020|"Physical Fundamentals of Remote Sensing, Spectral Response of Targets, Digital Image Processing."
Master in Remote Sensing|National Institute for Space Research (INPE)|Sâo José dos Campos, SP|Mar 2018 - Mar 2020|Dissertation Theme: Analysis of Caatinga resilience to extreme drought events. \href{https://github.com/hugotseixas/drought-resilience}{\faIcon{github}}
Exchange Program: Environmental Management|Limerick Institute of Technology|Thurles, Ireland|Jun 2015 - Jun 2016|"Scientific Methodology, Report Writing, Geoprocessing."
Exchange Program: Environmental Management|Limerick Institute of Technology|Thurles, Ireland|Jun 2015 - Jun 2016|"Improved English communication skills."
BS in Agronomic Engineering|School of Agriculture "Luiz de Queiroz" (ESALQ-USP)|Piracicaba, SP|Feb 2011 - Jul 2017|"Plant and Animal Production, Hydrology, Introduction to Geoprocessing and Remote Sensing"
BS in Agronomic Engineering|School of Agriculture "Luiz de Queiroz" (ESALQ-USP)|Piracicaba, SP|Feb 2011 - Jul 2017|"Thesis Theme: Analysis of the influence of time and storage on the spectral response of Mombasa grass leaves after sampling."
